compounds,anion_charge,anion_volume,CN
LiMnO2,-1.266,16.276,6
Li2NiO3,-1.055,16.361,6
LiFeO2,-1.09,16.385,6
LiCoO2,-1.064,16.411,6
Li4Mn5O12,-1.032,16.431,"4, 6"
Li7Co5O12,-1.064,16.432,6
LiFePO4,-1.475,16.693,6
Li2MnO3,-1.212,16.72,6
LiMnPO4,-1.499,17.05,6
LiNiO2,-1.084,17.129,6
LiNiO2,-1.068,17.459,6
LiTiO2,-1.371,17.723,6
Li2FeO3,-1.115,17.881,6
Li2TiO3,-1.307,18.208,6
LiCrO2,-1.242,18.349,6
LiV2O4,-1.151,18.387,4
Li2RuO3,-1.131,18.509,6
Li3RuO4,-1.13,18.544,6
Li4Ti5O12,-1.187,18.588,"4, 6"
Li2RhO3,-1.07,18.651,6
LiTi2(PO4)3,-1.39,18.669,6
LiMn2O4,-1.075,18.672,4
LiFeO2,-1.176,18.798,6
Li2IrO3,-1.083,18.905,6
LiTi2O4,-1.2,18.959,4
Li3TaO4,-1.336,19.165,6
Li3NbO4,-1.295,19.182,6
LiCuO2,-1.028,19.537,6
LiRhO2,-1.031,19.656,6
Li3SbO4,-1.325,19.725,4
LiNbO2,-1.252,19.806,6
Li3PO4,-1.57,19.865,4
Li2CO3,-1.322,20.118,4
Li2SiO3,-1.634,20.208,4
LiSbO3,-1.19,20.26,4
Li2HfO3,-1.414,20.396,6
Li2FeSiO4,-1.535,20.421,4
Li2MnSiO4,-1.561,20.43,4
LiPO3,-1.522,20.489,-
LiV(PO3)4,-1.461,20.683,4
Li2SnO3,-1.361,20.757,6
Li3BO3,-1.641,20.827,"4, 5"
Li2Si2O5,-1.619,21.098,4
Li3BiO4,-1.206,21.423,6
LiAlO2,-1.655,21.633,4
Li3CrO4,-1.145,21.913,4
Li8PtO6,-1.36,21.967,"4, 6"
Li2GeO3,-1.346,22.196,4
Li3VO4,-1.177,22.223,4
Li4GeO4,-1.435,22.251,4
Li2PbO3,-1.233,22.282,6
LiGaO2,-1.332,22.476,4
Li8SnO6,-1.527,22.781,"4, 6"
Li8SiO6,-1.673,22.941,4
Li2SeO4,-1.124,23.202,4
Li4TiO4,-1.385,23.208,4
Li2Ge2O5,-1.294,23.602,4
Li5AlO4,-1.682,23.893,4
Li8CoO6,-1.549,24.278,4
Li5BiO5,-1.34,24.356,5
Li2O,-1.683,24.969,4
Li6CoO4,-1.538,25.533,4