type  barrier  tet,,,,,,,
Li-O-c-1.0-v-.94  0.3339  -0.0032
Li-O-c-1.0-v-.96  0.3003  -0.1068
Li-O-c-1.0-v-.98  0.2842  -0.1994
Li-O-c-1.0-v-1.00  0.2805  -0.2805
Li-O-c-1.0-v-1.02  0.3527  -0.3527
Li-O-c-1.0-v-1.04  0.4159  -0.4159
Li-O-c-1.0-v-1.06  0.4698  -0.4698
Li-O-c-1.1-v-.84  1.3554  0.7319
Li-O-c-1.1-v-.86  1.0884  0.5359
Li-O-c-1.1-v-.88  0.8526  0.3638
Li-O-c-1.1-v-.90  0.6455  0.2117
Li-O-c-1.1-v-.92  0.4623  0.0792
Li-O-c-1.1-v-.94  0.33790000000000003  -0.0391
Li-O-c-1.1-v-.96  0.3125  -0.1425
Li-O-c-1.1-v-.98  0.291  -0.2357
Li-O-c-1.1-v-1.00  0.3152  -0.3152
Li-O-c-1.1-v-1.02  0.3858  -0.3858
Li-O-c-1.1-v-1.04  0.4924  -0.4488
Li-O-c-1.1-v-1.06  0.502  -0.502
Li-O-c-1.2-v-.84  1.3198  0.6828
Li-O-c-1.2-v-.86  1.0523  0.4884
Li-O-c-1.2-v-.88  0.8164  0.3183
Li-O-c-1.2-v-.90  0.6096  0.1681
Li-O-c-1.2-v-.92  0.4274  0.0376
Li-O-c-1.2-v-.94  0.34419999999999995  -0.0789
Li-O-c-1.2-v-.96  0.3257  -0.1804
Li-O-c-1.2-v-.98  0.3095  -0.272
Li-O-c-1.2-v-1.00  0.3501  -0.3501
Li-O-c-1.2-v-1.02  0.4199  -0.4199
Li-O-c-1.2-v-1.04  0.4811  -0.4811
Li-O-c-1.2-v-1.06  0.5332  -0.5332
Li-O-c-1.3-v-.84  1.2813  0.6301
Li-O-c-1.3-v-.86  1.0138  0.4379
Li-O-c-1.3-v-.88  0.7783  0.27
Li-O-c-1.3-v-.90  0.5718  0.1214
Li-O-c-1.3-v-.92  0.4553  -0.0066
Li-O-c-1.3-v-.94  0.3605  -0.1215
Li-O-c-1.3-v-.96  0.3407  -0.2208
Li-O-c-1.3-v-.98  0.3131  -0.3102
Li-O-c-1.3-v-1.00  0.3866  -0.3866
Li-O-c-1.3-v-1.02  0.454  -0.454
Li-O-c-1.3-v-1.04  0.5137  -0.5137
Li-O-c-1.3-v-1.06  0.5643  -0.5643
Li-O-c-1.4-v-.84  1.2469  0.5831
Li-O-c-1.4-v-.86  0.9791  0.3923
Li-O-c-1.4-v-.88  0.743  0.2243
Li-O-c-1.4-v-.90  0.5373  0.0784
Li-O-c-1.4-v-.92  0.4052  -0.0497
Li-O-c-1.4-v-.94  0.3755  -0.1612
Li-O-c-1.4-v-.96  0.3554  -0.2597
Li-O-c-1.4-v-.98  0.3477  -0.3477
Li-O-c-1.4-v-1.00  0.4222  -0.4222
Li-O-c-1.4-v-1.02  0.4883  -0.4883
Li-O-c-1.4-v-1.04  0.5458  -0.5458
Li-O-c-1.4-v-1.06  0.5951  -0.5951
Li-O-c-1.5-v-.84  1.2149  0.5403
Li-O-c-1.5-v-.86  0.9473  0.3508
Li-O-c-1.5-v-.88  0.712  0.1857
Li-O-c-1.5-v-.90  0.5057  0.0397
Li-O-c-1.5-v-.92  0.4129  -0.0853
Li-O-c-1.5-v-.94  0.3899  -0.198
Li-O-c-1.5-v-.96  0.3668  -0.2953
Li-O-c-1.5-v-.98  0.3806  -0.3806
Li-O-c-1.5-v-1.00  0.4556  -0.4556
Li-O-c-1.5-v-1.02  0.5201  -0.5201
Li-O-c-1.5-v-1.04  0.5767  -0.5767
Li-O-c-1.5-v-1.06  0.6252  -0.6252
Li-O-c-1.6-v-.84  1.1804  0.502
Li-O-c-1.6-v-.86  0.9134  0.3132
Li-O-c-1.6-v-.88  0.6785  0.1488
Li-O-c-1.6-v-.90  0.4736  0.0037
Li-O-c-1.6-v-.92  0.4254  -0.1206
Li-O-c-1.6-v-.94  0.402  -0.2317
Li-O-c-1.6-v-.96  0.3809  -0.3277
Li-O-c-1.6-v-.98  0.4131  -0.4131
Li-O-c-1.6-v-1.00  0.4854  -0.4854
Li-O-c-1.6-v-1.02  0.5491  -0.5491
Li-O-c-1.6-v-1.04  0.6044  -0.6044
Li-O-c-1.6-v-1.06  0.651  -0.651
Li-O-c-1.7-v-.84  1.1626  0.4735
Li-O-c-1.7-v-.86  0.8956  0.286
Li-O-c-1.7-v-.88  0.6614  0.1226
Li-O-c-1.7-v-.90  0.47819999999999996  -0.0209
Li-O-c-1.7-v-.92  0.43999999999999995  -0.1444
Li-O-c-1.7-v-.94  0.4159  -0.2541
Li-O-c-1.7-v-.96  0.394  -0.3486
Li-O-c-1.7-v-.98  0.4334  -0.4334
Li-O-c-1.7-v-1.00  0.5047  -0.5047
Li-O-c-1.7-v-1.02  0.5671  -0.5671
Li-O-c-1.7-v-1.04  0.621  -0.621
Li-O-c-1.7-v-1.06  0.667  -0.667
Li-O-c-1.8-v-.84  1.1759  0.481
Li-O-c-1.8-v-.86  0.9086  0.293
Li-O-c-1.8-v-.88  0.6741  0.1293
Li-O-c-1.8-v-.90  0.48450000000000004  -0.0149
Li-O-c-1.8-v-.92  0.4459  -0.1385
Li-O-c-1.8-v-.94  0.4219  -0.2481
Li-O-c-1.8-v-.96  0.399  -0.343
Li-O-c-1.8-v-.98  0.4276  -0.4276
Li-O-c-1.8-v-1.00  0.4987  -0.4987
Li-O-c-1.8-v-1.02  0.5611  -0.5611
Li-O-c-1.8-v-1.04  0.6152  -0.6152
Li-O-c-1.8-v-1.06  0.6609  -0.6609
type  barrier  tet
Li-O-c-.5-v-.84  1.5504  1.0119
Li-O-c-.5-v-.86  1.2921  0.8106
Li-O-c-.5-v-.88  1.0634  0.6337
Li-O-c-.5-v-.90  0.8599  0.4759
Li-O-c-.5-v-.92  0.6787  0.3379
Li-O-c-.5-v-.94  0.5162  0.214
Li-O-c-.5-v-.96  0.3718  0.1048
Li-O-c-.5-v-.98  0.2424  0.0065
Li-O-c-.5-v-1.00  0.2064  -0.0791
Li-O-c-.5-v-1.02  0.198  -0.1553
Li-O-c-.5-v-1.04  0.223  -0.223
Li-O-c-.5-v-1.06  0.2795  -0.2795
Li-O-c-.6-v-.84  1.5166  0.9634
Li-O-c-.6-v-.86  1.2565  0.7619
Li-O-c-.6-v-.88  1.0263  0.5852
Li-O-c-.6-v-.90  0.8222  0.4284
Li-O-c-.6-v-.92  0.6407  0.2915
Li-O-c-.6-v-.94  0.478  0.1683
Li-O-c-.6-v-.96  0.3336  0.0604
Li-O-c-.6-v-.98  0.241  -0.0373
Li-O-c-.6-v-1.00  0.2192  -0.1217
Li-O-c-.6-v-1.02  0.2074  -0.1975
Li-O-c-.6-v-1.04  0.2646  -0.2646
Li-O-c-.6-v-1.06  0.3209  -0.3209
Li-O-c-.7-v-.84  1.4819  0.9083
Li-O-c-.7-v-.86  1.2206  0.7095
Li-O-c-.7-v-.88  0.9893  0.535
Li-O-c-.7-v-.90  0.7842  0.3797
Li-O-c-.7-v-.92  0.6018  0.2442
Li-O-c-.7-v-.94  0.4394  0.1224
Li-O-c-.7-v-.96  0.2944  0.0156
Li-O-c-.7-v-.98  0.247  -0.0809
Li-O-c-.7-v-1.00  0.2324  -0.164
Li-O-c-.7-v-1.02  0.2386  -0.2386
Li-O-c-.7-v-1.04  0.3049  -0.3049
Li-O-c-.7-v-1.06  0.3605  -0.3605
Li-O-c-.8-v-.84  1.4512  0.8589
Li-O-c-.8-v-.86  1.1868  0.6603
Li-O-c-.8-v-.88  0.9532  0.4863
Li-O-c-.8-v-.90  0.7465  0.3319
Li-O-c-.8-v-.92  0.5641  0.1978
Li-O-c-.8-v-.94  0.401  0.0773
Li-O-c-.8-v-.96  0.3473  -0.0281
Li-O-c-.8-v-.98  0.3113  -0.1232
Li-O-c-.8-v-1.00  0.2455  -0.2052
Li-O-c-.8-v-1.02  0.3206  -0.2787
Li-O-c-.8-v-1.04  0.3438  -0.3438
Li-O-c-.8-v-1.06  0.3988  -0.3988
Li-O-c-.9-v-.84  1.4142  0.8094
Li-O-c-.9-v-.86  1.1495  0.6126
Li-O-c-.9-v-.88  0.9156  0.4401
Li-O-c-.9-v-.90  0.7091  0.2871
Li-O-c-.9-v-.92  0.5269  0.1542
Li-O-c-.9-v-.94  0.3641  0.0347
Li-O-c-.9-v-.96  0.29  -0.0694
Li-O-c-.9-v-.98  0.2732  -0.1635
Li-O-c-.9-v-1.00  0.2552  -0.244
Li-O-c-.9-v-1.02  0.3168  -0.3168
Li-O-c-.9-v-1.04  0.3809  -0.3809
Li-O-c-.9-v-1.06  0.4352  -0.4352
Li-O-c-1.0-v-.84  1.3836  0.7695
Li-O-c-1.0-v-.86  1.1173  0.5727
Li-O-c-1.0-v-.88  0.8823  0.4004
Li-O-c-1.0-v-.90  0.6759  0.248
Li-O-c-1.0-v-.92  0.4935  0.1156
Li-O-c-1.0-v-.94  0.3339  -0.0032
Li-O-c-1.0-v-.96  0.3003  -0.1068
Li-O-c-1.0-v-.98  0.2842  -0.1994
Li-O-c-1.0-v-1.00  0.2805  -0.2805
Li-O-c-1.0-v-1.02  0.3527  -0.3527
Li-O-c-1.0-v-1.04  0.4159  -0.4159
Li-O-c-1.0-v-1.06  0.4698  -0.4698
Li-O-c-1.1-v-.84  1.3554  0.7319
Li-O-c-1.1-v-.86  1.0884  0.5359
Li-O-c-1.1-v-.88  0.8526  0.3638
Li-O-c-1.1-v-.90  0.6455  0.2117
Li-O-c-1.1-v-.92  0.4623  0.0792
Li-O-c-1.1-v-.94  0.33790000000000003  -0.0391
Li-O-c-1.1-v-.96  0.3125  -0.1425
Li-O-c-1.1-v-.98  0.291  -0.2357
Li-O-c-1.1-v-1.00  0.3152  -0.3152
Li-O-c-1.1-v-1.02  0.3858  -0.3858
Li-O-c-1.1-v-1.04  0.4924  -0.4488
Li-O-c-1.1-v-1.06  0.502  -0.502
Li-O-c-1.2-v-.84  1.3198  0.6828
Li-O-c-1.2-v-.86  1.0523  0.4884
Li-O-c-1.2-v-.88  0.8164  0.3183
Li-O-c-1.2-v-.90  0.6096  0.1681
Li-O-c-1.2-v-.92  0.4274  0.0376
Li-O-c-1.2-v-.94  0.34419999999999995  -0.0789
Li-O-c-1.2-v-.96  0.3257  -0.1804
Li-O-c-1.2-v-.98  0.3095  -0.272
Li-O-c-1.2-v-1.00  0.3501  -0.3501
Li-O-c-1.2-v-1.02  0.4199  -0.4199
Li-O-c-1.2-v-1.04  0.4811  -0.4811
Li-O-c-1.2-v-1.06  0.5332  -0.5332
Li-O-c-1.3-v-.84  1.2813  0.6301
Li-O-c-1.3-v-.86  1.0138  0.4379
Li-O-c-1.3-v-.88  0.7783  0.27
Li-O-c-1.3-v-.90  0.5718  0.1214
Li-O-c-1.3-v-.92  0.4553  -0.0066
Li-O-c-1.3-v-.94  0.3605  -0.1215
Li-O-c-1.3-v-.96  0.3407  -0.2208
Li-O-c-1.3-v-.98  0.3131  -0.3102
Li-O-c-1.3-v-1.00  0.3866  -0.3866
Li-O-c-1.3-v-1.02  0.454  -0.454
Li-O-c-1.3-v-1.04  0.5137  -0.5137
Li-O-c-1.3-v-1.06  0.5643  -0.5643
Li-O-c-1.4-v-.84  1.2469  0.5831
Li-O-c-1.4-v-.86  0.9791  0.3923
Li-O-c-1.4-v-.88  0.743  0.2243
Li-O-c-1.4-v-.90  0.5373  0.0784
Li-O-c-1.4-v-.92  0.4052  -0.0497
Li-O-c-1.4-v-.94  0.3755  -0.1612
Li-O-c-1.4-v-.96  0.3554  -0.2597
Li-O-c-1.4-v-.98  0.3477  -0.3477
Li-O-c-1.4-v-1.00  0.4222  -0.4222
Li-O-c-1.4-v-1.02  0.4883  -0.4883
Li-O-c-1.4-v-1.04  0.5458  -0.5458
Li-O-c-1.4-v-1.06  0.5951  -0.5951
Li-O-c-1.5-v-.84  1.2149  0.5403
Li-O-c-1.5-v-.86  0.9473  0.3508
Li-O-c-1.5-v-.88  0.712  0.1857
Li-O-c-1.5-v-.90  0.5057  0.0397
Li-O-c-1.5-v-.92  0.4129  -0.0853
Li-O-c-1.5-v-.94  0.3899  -0.198
Li-O-c-1.5-v-.96  0.3668  -0.2953
Li-O-c-1.5-v-.98  0.3806  -0.3806
Li-O-c-1.5-v-1.00  0.4556  -0.4556
Li-O-c-1.5-v-1.02  0.5201  -0.5201
Li-O-c-1.5-v-1.04  0.5767  -0.5767
Li-O-c-1.5-v-1.06  0.6252  -0.6252
Li-O-c-1.6-v-.84  1.1804  0.502
Li-O-c-1.6-v-.86  0.9134  0.3132
Li-O-c-1.6-v-.88  0.6785  0.1488
Li-O-c-1.6-v-.90  0.4736  0.0037
Li-O-c-1.6-v-.92  0.4254  -0.1206
Li-O-c-1.6-v-.94  0.402  -0.2317
Li-O-c-1.6-v-.96  0.3809  -0.3277
Li-O-c-1.6-v-.98  0.4131  -0.4131
Li-O-c-1.6-v-1.00  0.4854  -0.4854
Li-O-c-1.6-v-1.02  0.5491  -0.5491
Li-O-c-1.6-v-1.04  0.6044  -0.6044
Li-O-c-1.6-v-1.06  0.651  -0.651
Li-O-c-1.7-v-.84  1.1626  0.4735
Li-O-c-1.7-v-.86  0.8956  0.286
Li-O-c-1.7-v-.88  0.6614  0.1226
Li-O-c-1.7-v-.90  0.47819999999999996  -0.0209
Li-O-c-1.7-v-.92  0.43999999999999995  -0.1444
Li-O-c-1.7-v-.94  0.4159  -0.2541
Li-O-c-1.7-v-.96  0.394  -0.3486
Li-O-c-1.7-v-.98  0.4334  -0.4334
Li-O-c-1.7-v-1.00  0.5047  -0.5047
Li-O-c-1.7-v-1.02  0.5671  -0.5671
Li-O-c-1.7-v-1.04  0.621  -0.621
Li-O-c-1.7-v-1.06  0.667  -0.667
Li-O-c-1.8-v-.84  1.1759  0.481
Li-O-c-1.8-v-.86  0.9086  0.293
Li-O-c-1.8-v-.88  0.6741  0.1293
Li-O-c-1.8-v-.90  0.48450000000000004  -0.0149
Li-O-c-1.8-v-.92  0.4459  -0.1385
Li-O-c-1.8-v-.94  0.4219  -0.2481
Li-O-c-1.8-v-.96  0.399  -0.343
Li-O-c-1.8-v-.98  0.4276  -0.4276
Li-O-c-1.8-v-1.00  0.4987  -0.4987
Li-O-c-1.8-v-1.02  0.5611  -0.5611
Li-O-c-1.8-v-1.04  0.6152  -0.6152
Li-O-c-1.8-v-1.06  0.6609  -0.6609
